UF	SF	Freq
θæŋkju	θæ̃ŋkju	7232
ʃoʊ	ʃoʊ	7220
maɪt	maɪt	7139
bɛd	bɛd	7101
kaɪnd	kaɪ̃nd	7060
ɛniθɪŋ	ɛ̃niθɪ̃ŋ	6966
nɛkst	nɛkst	6959
skul	skul	6906
hɛd	hɛd	6894
kʌlɝ	kʌlɝ	6854
ʌm	ʌ̃m	6854
oʊnli	oʊ̃nli	6787
raʊnd	raʊ̃nd	6782
hæpənd	hæpə̃nd	6759
lɑt	lɑt	6728
pipəl	pipəl	6698
θru	θru	6697
kʌmɪŋ	kʌ̃mɪ̃ŋ	6639
treɪn	treɪ̃n	6603
naɪt	naɪt	6593
fɔr	fɔr	6534
rɛdi	rɛdi	6533
oʊpən	oʊpə̃n	6382
ɝaʊnd	ɝaʊ̃nd	6366
kæt	kæt	6363
bɛr	bɛr	6331
mɛni	mɛ̃ni	6318
mɪnət	mɪ̃nət	6281
hir	hir	6269
prɪti	prɪti	6209
θɔt	θɔt	6181
fʌni	fʌ̃ni	6158
hoʊld	hoʊld	6138
hɛr	hɛr	6131
aʊɝ	aʊɝ	6109
mɪlk	mɪlk	6048
bɪfɔr	bɪfɔr	6035
gɛtɪŋ	gɛtɪ̃ŋ	6007
dɔr	dɔr	5987
wɝk	wɝk	5968
drɪŋk	drɪ̃ŋk	5933
ðɛr	ðɛr	5869
dʒus	dʒus	5856
faɪv	faɪv	5854
waʊ	waʊ	5845
stɑp	stɑp	5827
bɔl	bɔl	5821
læst	læst	5818
baɪ	baɪ	5781
kaɪ	kaɪ	5779
æftɝ	æftɝ	5770
dɔg	dɔg	5762
jɛloʊ	jɛloʊ	5758
lɔŋ	lɔ̃ŋ	5727
meɪd	meɪd	5567
maʊθ	maʊθ	5561
fud	fud	5554
pleɪɪŋ	pleɪɪ̃ŋ	5538
tʃɛr	tʃɛr	5530
teɪbəl	teɪbəl	5528
kɛrfəl	kɛrfəl	5521
kip	kip	5512
pɑrdən	pɑrdə̃n	5506
hænd	hæ̃nd	5441
jus	jus	5438
tɑp	tɑp	5424
mɔrnɪŋ	mɔrnɪ̃ŋ	5396
pɪktʃɝ	pɪktʃɝ	5388
ɛlənɔr	ɛlə̃nɔr	5311
tɔk	tɔk	5306
lʊkɪŋ	lʊkɪ̃ŋ	5267
lʌv	lʌv	5263
haɪ	haɪ	5255
pis	pis	5247
ʌs	ʌs	5122
hæt	hæt	5104
ðoʊ	ðoʊ	5069
slip	slip	5064
aʊtsaɪd	aʊtsaɪd	5042
liv	liv	5007
noʊz	noʊz	5002
sɑri	sɑri	4956
hævɪŋ	hævɪ̃ŋ	4953
stɔri	stɔri	4936
jɑ	jɑ	4915
rum	rũm	4887
flɔr	flɔr	4885
keɪm	keɪ̃m	4869
sɪli	sɪli	4828
ti	ti	4825
nu	nu	4819
itɪŋ	itɪ̃ŋ	4771
bɝθdeɪ	bɝθdeɪ	4753
wi	wi	4717
ɔrəndʒ	ɔrə̃ndʒ	4702
hɝt	hɝt	4633
meɪkɪŋ	meɪkɪ̃ŋ	4597
hɑt	hɑt	4582
oʊld	oʊld	4568
brɪŋ	brɪ̃ŋ	4528
jɛt	jɛt	4521
mɑmə	mɑ̃mə	4502
greɪt	greɪt	4460
sɔ	sɔ	4417
nɛvɝ	nɛvɝ	4383
fɔl	fɔl	4379
wɑntz	wɑ̃nts	4379
seɪɪŋ	seɪɪ̃ŋ	4366
pɪk	pɪk	4338
təgɛðɝ	təgɛðɝ	4334
ɪnʌf	ɪ̃nʌf	4319
æktʃuəli	æktʃuəli	4301
tʃiz	tʃiz	4274
muv	muv	4268
kʌp	kʌp	4266
lʌvli	lʌvli	4260
fit	fit	4259
ðæn	ðæ̃n	4224
trʌk	trʌk	4211
mʌst	mʌst	4195
æm	æ̃m	4172
ivɪn	ivɪ̃n	4168
steɪ	steɪ	4149
hʌŋgri	hʌ̃ŋgri	4097
hʌni	hʌ̃ni	4069
prɑbəbli	prɑbəbli	4039
keɪk	keɪk	4004
θroʊ	θroʊ	3985
feɪs	feɪs	3970
dɪfɝənt	dɪfɝə̃nt	3967
kwaɪt	kwaɪt	3913
fɪʃ	fɪʃ	3905
stʌf	stʌf	3898
ʌndɝ	ʌ̃ndɝ	3893
pʊl	pʊl	3873
baɪ	baɪ	3870
kʌt	kʌt	3866
aɪz	aɪz	3854
waɪl	waɪl	3839
seɪm	seɪ̃m	3822
ɪnsaɪd	ɪ̃nsaɪd	3816
drɔ	drɔ	3809
kɔl	kɔl	3795
waɪt	waɪt	3781
koʊld	koʊld	3763
mætɝ	mætɝ	3757
sin	sĩn	3723
hæpi	hæpi	3719
leɪtɝ	leɪtɝ	3715
pʊʃ	pʊʃ	3702
baɪ	baɪ	3698
hɔrs	hɔrs	3674
æpəl	æpəl	3657
peɪpɝ	peɪpɝ	3645
gɑtə	gɑtə	3636
faɪɝ	faɪɝ	3621
biɪŋ	biɪ̃ŋ	3613
bʌs	bʌs	3606
tri	tri	3586
sɪks	sɪks	3581
nɔɪz	nɔɪz	3573
ɔlweɪz	ɔlweɪz	3570
nʌmbɝ	nʌ̃mbɝ	3567
ril	ril	3555
saɪd	saɪd	3551
bæd	bæd	3542
tɔkɪŋ	tɔkɪ̃ŋ	3535
fɪt	fɪt	3510
fil	fil	3488
bæg	bæg	3470
fʌn	fʌ̃n	3436
mʌni	mʌ̃ni	3418
fʊt	fʊt	3403
bɝd	bɝd	3386
u	u	3362
jʊrz	jʊrz	3361
pʌtɪŋ	pʌtɪ̃ŋ	3338
spun	spũn	3335
jɛstɝdeɪ	jɛstɝdeɪ	3331
lɛft	lɛft	3324
æsk	æsk	3323
kaʊ	kaʊ	3318
sɪtɪŋ	sɪtɪ̃ŋ	3308
peɪdʒ	peɪdʒ	3305
pritɛnd	pritɛ̃nd	3300
klɛvɝ	klɛvɝ	3258
klin	klĩn	3253
stɑrt	stɑrt	3249
stænd	stæ̃nd	3245
wɑʃ	wɑʃ	3241
brɛd	brɛd	3241
dɪnɝ	dɪ̃nɝ	3235
eɪt	eɪt	3225
jɝsɛlf	jɝsɛlf	3224
wups	wups	3214
traɪɪŋ	traɪɪ̃ŋ	3210
krɪsməs	krɪsməs	3203
maɪn	maɪ̃n	3183
ɛvriθɪŋ	ɛvriθɪ̃ŋ	3171
sɪŋ	sɪ̃ŋ	3165
ups	ups	3160
raɪt	raɪt	3148
rɔŋ	rɔ̃ŋ	3128
ɛnd	ɛ̃nd	3114
wɔk	wɔk	3092
dʌk	dʌk	3092
gɛs	gɛs	3073
leɪdi	leɪdi	3066
sʌmbɑdi	sʌ̃mbɑdi	3059
ɛvɝ	ɛvɝ	3039
mɑm	mɑ̃m	3037
tʌtʃ	tʌtʃ	3020
kɪti	kɪti	3010
ɛləfənt	ɛləfə̃nt	3003
fɪnɪʃ	fɪ̃nɪʃ	2995
fɛl	fɛl	2967
brɛkfəst	brɛkfəst	2964
lɪsən	lɪsə̃n	2933
kɪs	kɪs	2931
lʌntʃ	lʌ̃ntʃ	2905
stʌk	stʌk	2892
lɑrə	lɑrə	2875
rɑs	rɑs	2850
tʃɪkən	tʃɪkə̃n	2842
jɛp	jɛp	2824
breɪk	breɪk	2808
tʃɔklət	tʃɔklət	2802
nɔti	nɔti	2789
pɝdi	pɝdi	2787
ɛg	ɛg	2753
ʌ	ʌ	2753
kʊki	kʊki	2752
bɪhaɪnd	bɪhaɪ̃nd	2747
tʊk	tʊk	2737
grændmɑ	græ̃ndmɑ	2735
geɪm	geɪ̃m	2728
pleɪt	pleɪt	2719
ɔlrɛdi	ɔlrɛdi	2717
smɔl	smɔl	2694
stɪk	stɪk	2691
krim	krĩm	2690
teɪp	teɪp	2682
kloʊs	kloʊs	2675
bɑtəl	bɑtəl	2673
təmɑroʊ	tə̃mɑroʊ	2664
dʒɑb	dʒɑb	2660
bæθ	bæθ	2659
tɛn	tɛ̃n	2656
sɛvən	sɛvə̃n	2643
pɑrti	pɑrti	2635
maɪnd	maɪ̃nd	2624
wɪndoʊ	wɪ̃ndoʊ	2617
wɛr	wɛr	2616
blæk	blæk	2613
tɔɪ	tɔɪ	2611
dɝti	dɝti	2603
pur	pur	2602
pɑrt	pɑrt	2600
pɪŋk	pɪ̃ŋk	2594
kloʊðz	kloʊðz	2582
səmtaɪmz	sə̃mtaɪ̃mz	2573
bɪld	bɪld	2566
bʌni	bʌ̃ni	2563
jʌm	jʌ̃m	2562
dʒɑn	dʒɑ̃n	2555
mɑrk	mɑrk	2549
feɪvɝɪt	feɪvɝɪt	2548
ʃɑp	ʃɑp	2532
aɪs	aɪs	2524
nʌθɪŋ	nʌθɪ̃ŋ	2522
gʊdnəs	gʊdnəs	2518
tɛdi	tɛdi	2513
taɪgɝ	taɪgɝ	2508
pɪg	pɪg	2493
broʊkən	broʊkə̃n	2490
boʊθ	boʊθ	2471
wik	wik	2465
frʌnt	frʌ̃nt	2464
laɪt	laɪt	2464
braʊn	braʊ̃n	2463
sɔrt	sɔrt	2459
eɪmi	eɪ̃mi	2456
raɪd	raɪd	2446
laɪkz	laɪks	2444
mɛs	mɛs	2436
hoʊl	hoʊl	2432
fɪks	fɪks	2429
kɑrl	kɑrl	2415
baɪt	baɪt	2406
bjutəfəl	bjutəfəl	2401
aɪdiə	aɪdiə	2400
tiθ	tiθ	2379
iðɝ	iðɝ	2376
rʌn	rʌ̃n	2372
pleɪs	pleɪs	2371
laɪv	laɪv	2363
eɪt	eɪt	2361
dʒʌmp	dʒʌ̃mp	2361
frɛnd	frɛ̃nd	2357
gaɪz	gaɪz	2352
naɪn	naɪ̃n	2349
ɛnimɔr	ɛ̃nĩmɔr	2319
ræbət	ræbət	2307
pitsə	pitsə	2303
sun	sũn	2296
geɪv	geɪv	2266
lɛtɝ	lɛtɝ	2261
mʌðɝ	mʌðɝ	2255
kwɪk	kwɪk	2251
ɔlmoʊst	ɔlmoʊst	2245
wɛt	wɛt	2240
əpstɛrz	əpstɛrz	2234
tʃɪldrən	tʃɪldrə̃n	2202
bɛt	bɛt	2199
bɑtəm	bɑtə̃m	2196
boʊt	boʊt	2179
hɪt	hɪt	2163
bɑt	bɑt	2158
kɑfi	kɑfi	2151
teɪkɪŋ	teɪkɪ̃ŋ	2138
oʊn	oʊ̃n	2137
gaɪ	gaɪ	2137
mʌŋki	mʌ̃ŋki	2130
lɔrə	lɔrə	2126
kɑrz	kɑrz	2122
hæpənz	hæpə̃nz	2103
fju	fju	2088
ɛndʒən	ɛ̃ndʒə̃n	2087
lɔst	lɔst	2087
kætʃ	kætʃ	2087
mun	mũn	2075
pɑp	pɑp	2068
brʌʃ	brʌʃ	2066
bu	bu	2053
jʌmi	jʌ̃mi	2049
bæŋ	bæ̃ŋ	2048
ʃip	ʃip	2039
bɔɪz	bɔɪz	2038
maʊs	maʊs	2030
kaʊnt	kaʊ̃nt	2028
saʊnd	saʊ̃nd	2013
laɪən	laɪə̃n	2008
sɛrə	sɛrə	2005
nidz	nidz	2004
əntɪl	ə̃ntɪl	2003
twɛnti	twɛ̃nti	2003
draɪv	draɪv	2002
əhɛd	əhɛd	1997
piz	piz	1991
jɪr	jɪr	1990
ɛvɝi	ɛvɝi	1978
teɪl	teɪl	1978
sɛkənd	sɛkə̃nd	1977
foʊn	foʊ̃n	1970
pɑrk	pɑrk	1969
boʊl	boʊl	1953
bɪgɝ	bɪgɝ	1949
bloʊ	bloʊ	1946
kɪtʃən	kɪtʃə̃n	1938
hæf	hæf	1938
toʊst	toʊst	1930
fɪŋgɝ	fɪ̃ŋgɝ	1925
sɔŋ	sɔ̃ŋ	1922
ʃɝt	ʃɝt	1910
ɪts	ɪts	1909
sʌn	sʌ̃n	1907
haɪdɪŋ	haɪdɪ̃ŋ	1900
ɪkskjus	ɪkskjus	1899
swithɑrt	swithɑrt	1898
ɛvribɑdi	ɛvribɑdi	1892
sneɪk	sneɪk	1884
zu	zu	1883
pu	pu	1883
roʊl	roʊl	1866
juʒəwəli	juʒəwəli	1864
kraɪɪŋ	kraɪɪ̃ŋ	1864
dɑli	dɑli	1860
ɛniweɪ	ɛ̃niweɪ	1859
tɪkəl	tɪkəl	1854
mɪstɝ	mɪstɝ	1849
faɪn	faɪ̃n	1844
wɝd	wɝd	1841
dæd	dæd	1839
gɑrdən	gɑrdə̃n	1833
eɪbəl	eɪbəl	1825
kætəpɪlɝ	kætəpɪlɝ	1818
sɛt	sɛt	1807
meɪ	meɪ	1804
hoʊl	hoʊl	1803
pæt	pæt	1801
drɛs	drɛs	1788
ædəm	ædə̃m	1781
ʃʌt	ʃʌt	1776
daʊnstɛrz	daʊ̃nstɛrz	1774
wɔrm	wɔrm	1773
teɪst	teɪst	1764
tʃeɪndʒ	tʃeɪ̃ndʒ	1758
sʌmwɛr	sʌ̃mwɛr	1754
dɑktɝ	dɑktɝ	1753
roʊd	roʊd	1751
rɛst	rɛst	1747
fɑrm	fɑrm	1742
fæst	fæst	1739
huz	huz	1737
wʌndɝ	wʌ̃ndɝ	1734
tʌmi	tʌ̃mi	1705
nɑk	nɑk	1704
ʃeɪk	ʃeɪk	1703
ʃu	ʃu	1700
hæŋ	hæ̃ŋ	1693
dɔgi	dɔgi	1692
fʊl	fʊl	1689
brɔt	brɔt	1687
waɪp	waɪp	1687
oʊ	oʊ	1687
rʌnɪŋ	rʌ̃nɪ̃ŋ	1685
kul	kul	1677
pɝpəl	pɝpəl	1674
haɪ	haɪ	1661
pʌzəl	pʌzəl	1661
træktɝ	træktɝ	1647
kʊk	kʊk	1643
wʌns	wʌ̃ns	1642
kɪndə	kɪ̃ndə	1636
sændwɪtʃ	sæ̃ndwɪtʃ	1628
tənaɪt	tə̃naɪt	1627
brɪdʒ	brɪdʒ	1625
saʊndz	saʊ̃ndz	1623
lɛg	lɛg	1623
hɛnri	hɛ̃nri	1619
itʃ	itʃ	1615
fid	fid	1605
frɑg	frɑg	1605
slipɪŋ	slipɪ̃ŋ	1600
daɪnəsɔr	daɪ̃nəsɔr	1599
mɪs	mɪs	1596
taɪni	taɪ̃ni	1592
woʊ	woʊ	1591
snoʊ	snoʊ	1588
rɪŋ	rɪ̃ŋ	1588
kʊkiz	kʊkiz	1588
spɛʃəl	spɛʃəl	1582
draɪvɝ	draɪvɝ	1576
beɪbiz	beɪbiz	1569
poʊstmən	poʊstmə̃n	1560
stɔr	stɔr	1556
dɑl	dɑl	1555
bɛki	bɛki	1544
draɪ	draɪ	1542
noʊp	noʊp	1539
aɪ	aɪ	1537
ʃɑpɪŋ	ʃɑpɪ̃ŋ	1533
bɛst	bɛst	1533
pɝhæps	pɝhæps	1528
ʃʊgɝ	ʃʊgɝ	1519
sɪstɝ	sɪstɝ	1518
bɪzi	bɪzi	1516
hæstə	hæstə	1510
mɛn	mɛ̃n	1509
swɪmɪŋ	swɪ̃mɪ̃ŋ	1503
klɑk	klɑk	1496
wɛrɪŋ	wɛrɪ̃ŋ	1495
gɑʃ	gɑʃ	1493
switi	switi	1493
wɑtʃɪŋ	wɑtʃɪ̃ŋ	1492
smɛl	smɛl	1490
əlɔŋ	əlɔ̃ŋ	1488
jeɪ	jeɪ	1484
bæskət	bæskət	1480
bɑb	bɑb	1477
pɑt	pɑt	1475
peɪnt	peɪ̃nt	1468
ɑrm	ɑrm	1466
hoʊp	hoʊp	1464
fæt	fæt	1448
tʃaɪld	tʃaɪld	1444
kwaɪət	kwaɪət	1442
bəlun	bəlũn	1429
bɪldɪŋ	bɪldɪ̃ŋ	1426
tɛləfoʊn	tɛləfoʊ̃n	1417
kjut	kjut	1413
nɪrli	nɪrli	1412
taʊɝ	taʊɝ	1412
drɑpd	drɑpt	1410
flaɪ	flaɪ	1409
kraɪ	kraɪ	1409
slaɪd	slaɪd	1407
spəgɛti	spəgɛti	1397
sup	sup	1392
græs	græs	1388
prɛs	prɛs	1385
bənænə	bə̃næ̃nə	1381
tɛlɪŋ	tɛlɪ̃ŋ	1380
kɑrd	kɑrd	1377
ɛnibədi	ɛ̃nibədi	1375
paɪ	paɪ	1374
ɛləfəntz	ɛləfə̃nts	1374
ænəməl	æ̃nə̃məl	1373
wɔkɪŋ	wɔkɪ̃ŋ	1370
dɑrk	dɑrk	1370
haɪd	haɪd	1370
lɔri	lɔri	1367
krɔs	krɔs	1361
fɑr	fɑr	1358
bɪn	bɪ̃n	1351
sʌtʃ	sʌtʃ	1349
draɪvɪŋ	draɪvɪ̃ŋ	1349
dɑmənɪk	dɑ̃mə̃nɪk	1348
mʌm	mʌ̃m	1337
ɪnstɛd	ɪ̃nstɛd	1335
mɪstɝ	mɪstɝ	1335
sæd	sæd	1325
sɪk	sɪk	1324
hoʊldɪŋ	hoʊldɪ̃ŋ	1320
mɑnstɝ	mɑ̃nstɝ	1319
nɝsɝi	nɝsɝi	1317
brʌðɝ	brʌðɝ	1316
noʊmi	noʊ̃mi	1315
baɪk	baɪk	1314
bʌtɝ	bʌtɝ	1313
bʌtən	bʌtə̃n	1313
eɪb	eɪb	1313
frut	frut	1311
wɝkɪŋ	wɝkɪ̃ŋ	1297
drɔɪŋ	drɔɪ̃ŋ	1297
wɔl	wɔl	1296
prɛzənt	prɛzə̃nt	1294
wɪθaʊt	wɪθaʊt	1292
glæs	glæs	1282
fɝgɑt	fɝgɑt	1277
mit	mit	1277
fʊtbɔl	fʊtbɔl	1276
lɪd	lɪd	1272
deɪvɪd	deɪvɪd	1270
wɑʃɪŋ	wɑʃɪ̃ŋ	1269
broʊk	broʊk	1263
sɑft	sɑft	1262
swit	swit	1259
maɪkəl	maɪkəl	1250
əslip	əslip	1248
fɑlən	fɑlə̃n	1248
hɛvi	hɛvi	1243
pæst	pæst	1240
aʊl	aʊl	1237
gɪvɪŋ	gɪvɪ̃ŋ	1234
kwɪkli	kwɪkli	1231
strit	strit	1227
laɪ	laɪ	1219
pɝsən	pɝsə̃n	1219
ɛr	ɛr	1219
pʊsi	pʊsi	1219
θɪŋkɪŋ	θɪ̃ŋkɪ̃ŋ	1217
wətɛvɝ	wətɛvɝ	1216
dɑdɑ	dɑdɑ	1216
bʌtɝflaɪ	bʌtɝflaɪ	1214
hæpən	hæpə̃n	1213
koʊt	koʊt	1213
sʌndeɪ	sʌ̃ndeɪ	1212
sɝkəl	sɝkəl	1207
kɔrn	kɔrn	1204
streɪt	streɪt	1201
ridɪŋ	ridɪ̃ŋ	1198
əpɑrt	əpɑrt	1192
kɛr	kɛr	1186
bi	bi	1186
mɪsɪŋ	mɪsɪ̃ŋ	1185
tɔl	tɔl	1185
aɪ	aɪ	1184
mɪdəl	mɪdəl	1184
reɪn	reɪ̃n	1184
ɔlsoʊ	ɔlsoʊ	1184
laɪn	laɪ̃n	1183
kæθi	kæθi	1181
nɪr	nɪr	1181
ʃeɪp	ʃeɪp	1181
tʃu	tʃu	1180
stændɪŋ	stæ̃ndɪ̃ŋ	1178
sʌmwən	sʌ̃mwə̃n	1173
əloʊn	əloʊ̃n	1173
faɪrmən	faɪrmə̃n	1172
mɪsɪz	mɪsɪz	1169
kɑz	kɑz	1167
drɑp	drɑp	1166
ni	ni	1165
kʌpəl	kʌpəl	1164
flaʊɝ	flaʊɝ	1163
speɪs	speɪs	1159
pɛn	pɛ̃n	1159
mjuzɪk	mjuzɪk	1155
gɑd	gɑd	1154
toʊz	toʊz	1152
skaɪ	skaɪ	1145
titʃɝ	titʃɝ	1141
poʊst	poʊst	1140
purli	purli	1139
sʌmɝ	sʌ̃mɝ	1138
nænə	næ̃nə	1132
lɪft	lɪft	1128
dʒɝæf	dʒɝæf	1128
dʒɪgsɔ	dʒɪgsɔ	1123
tivi	tivi	1122
fraɪdi	fraɪdi	1119
sætɝdi	sætɝdi	1118
ænti	æ̃nti	1114
hæpənɪŋ	hæpə̃nɪ̃ŋ	1113
sæntə	sæ̃ntə	1112
moʊmənt	moʊ̃mə̃nt	1111
əgoʊ	əgoʊ	1107
lɪvz	lɪvz	1106
ɑntu	ɑ̃ntu	1101
prɑpɝli	prɑpɝli	1098
maɪkrəfoʊn	maɪkrəfoʊ̃n	1096
kɔrs	kɔrs	1090
pɔr	pɔr	1090
gɝɑʒ	gɝɑʒ	1086
træk	træk	1084
izi	izi	1082
pɪgi	pɪgi	1081
mɑrki	mɑrki	1079
spaɪdɝ	spaɪdɝ	1078
greɪpz	greɪps	1077
kæri	kæri	1076
laʊd	laʊd	1073
fɝgɛt	fɝgɛt	1069
noʊbɑdi	noʊbɑdi	1068
bɝdz	bɝdz	1068
fɑlɪŋ	fɑlɪ̃ŋ	1066
kiz	kiz	1065
θɝdi	θɝdi	1064
dʒʌmpɪŋ	dʒʌ̃mpɪ̃ŋ	1063
weɪk	weɪk	1061
ʌhʌ	ʌhʌ	1057
ir	ir	1055
pʌpi	pʌpi	1055
nu	nu	1051
itən	itə̃n	1051
dʌkz	dʌks	1051
əndɝstænd	ə̃ndɝstæ̃nd	1048
roʊmən	roʊ̃mə̃n	1041
dɔgi	dɔgi	1039
tʃɛk	tʃɛk	1037
pəlis	pəlis	1036
pɪknɪk	pɪknɪk	1036
ʃɛr	ʃɛr	1036
mɪsd	mɪst	1033
binz	bĩnz	1032
up	up	1032
broʊ	broʊ	1030
ɛrpleɪn	ɛrpleɪ̃n	1026
sɪŋɪŋ	sɪ̃ŋɪ̃ŋ	1025
əndɝniθ	ə̃ndɝ̃niθ	1024
ritʃ	ritʃ	1020
leɪt	leɪt	1019
dæns	dæ̃ns	1019
weɪtɪŋ	weɪtɪ̃ŋ	1017
trʌbəl	trʌbəl	1017
ɔ	ɔ	1014
moʊst	moʊst	1014
jʌp	jʌp	1014
wʊd	wʊd	1009
steɪʃən	steɪʃə̃n	1009
sɪriəl	sɪriəl	1007
strɔŋ	strɔ̃ŋ	1004
blæŋkət	blæ̃ŋkət	1002
groʊ	groʊ	999
ræn	ræ̃n	997
ruθ	ruθ	996
fɑðɝ	fɑðɝ	994
pəlismən	pəlismə̃n	990
væn	væ̃n	989
stɑr	stɑr	988
strɔbɛri	strɔbɛri	987
æn	æ̃n	987
pitɝ	pitɝ	985
nit	nit	984
ɛmpti	ɛ̃mpti	982
brɪljənt	brɪljə̃nt	981
hʌg	hʌg	980
pɛnsəl	pɛ̃nsəl	978
tʃiki	tʃiki	978
nɪkoʊl	nɪkoʊl	977
sɔsədʒ	sɔsədʒ	972
noʊz	noʊz	971
ʌŋkəl	ʌ̃ŋkəl	970
grændæd	græ̃ndæd	970
ɝli	ɝli	967
klaɪm	klaɪ̃m	963
jɛ	jɛ	962
bɪliv	bɪliv	961
waɪnd	waɪ̃nd	960
mʌndi	mʌ̃ndi	958
poʊ	poʊ	958
sit	sit	957
æftɝnun	æftɝ̃nũn	955
