UF	SF	Freq
an.tsi.ɘn.	an.tsi.ɘn.	270
kro.ko.dil.	kro.ko.dil.	270
gɘ.baut.	gɘ.baut.	269
tsu.ryk.	tsu.ryk.	268
di.zɘr.	di.zɘr.	268
rɛ.dɘr.	rɛ.dɘr.	268
mag.	mak.	267
y.bɘr.le.gɘn.	y.bɘr.le.gɘn.	267
dax.	dax.	267
fɪ.ŋɘr.	fɪ.ŋɘr.	266
bai.dɘn.	bai.dɘn.	265
van.	van.	264
li.gɘn.	li.gɘn.	263
zɪ.tsɘn.	zɪ.tsɘn.	261
fɛn.stɘr.	fɛn.stɘr.	261
hʊ.ŋɘr.	hʊ.ŋɘr.	260
ja.vol.	ja.vol.	259
brauxst.	brauxst.	259
ʃi.nɘn.	ʃi.nɘn.	258
vɔl.tɘst.	vɔl.tɘst.	257
mal.	mal.	256
zo.gar.	zo.gar.	255
fɛlt.	fɛlt.	255
mer.	mer.	254
hɛ.tɘ.	hɛ.tɘ.	253
ʃaf.	ʃaf.	253
fynf.	fynf.	252
bal.	bal.	252
gɘ.fʊn.dɘn.	gɘ.fʊn.dɘn.	251
ven.	ven.	248
gʊkt.	gʊkt.	248
pro.bi.rɘn.	pro.bi.rɘn.	246
klain.	klain.	245
hais.	hais.	245
frɔʃ.	frɔʃ.	245
klar.	klar.	244
fɪn.dɘn.	fɪn.dɘn.	244
lɔk.	lɔk.	243
platz.	plats.	241
fɔl.	fɔl.	240
frau.	frau.	239
mond.	mont.	239
ha.zɘ.	ha.zɘ.	238
ni.	ni.	237
bo.dɘn.	bo.dɘn.	237
ɛ.sɘn.	ɛ.sɘn.	235
gɘ.krikt.	gɘ.krikt.	235
je.mand.	je.mant.	234
hʊb.ʃrau.bɘr.	hʊp.ʃrau.bɘr.	234
gans.	gans.	234
klo.	klo.	233
dɛs.halb.	dɛs.halp.	233
flug.ha.fɘn.	fluk.ha.fɘn.	231
baum.	baum.	230
mai.nɘn.	mai.nɘn.	229
nas.	nas.	228
li.la.	li.la.	228
a.pfɘl.	a.pfɘl.	227
laŋ.zam.	laŋ.zam.	227
ʃø.nɘ.	ʃø.nɘ.	227
zɪ.xɘr.	zɪ.xɘr.	226
nɔy.ɘ.	nɔy.ɘ.	226
glyk.	glyk.	226
e.le.fant.	e.le.fant.	225
aix.hœrn.xɘn.	aix.hœrn.xɘn.	225
var.tɘn.	var.tɘn.	224
blai.bɘn.	blai.bɘn.	224
ʃla.fɘn.	ʃla.fɘn.	223
lɛ.kɘr.	lɛ.kɘr.	223
ʃvi.rɪx.	ʃvi.rɪx.	222
var.ʃain.lɪx.	var.ʃain.lɪx.	222
fɛst.	fɛst.	222
le.gɘn.	le.gɘn.	221
mɔys.xɘn.	mɔys.xɘn.	220
flikt.	flikt.	220
hab.	hap.	218
ba.gɘr.	ba.gɘr.	218
gi.ra.fɘ.	gi.ra.fɘ.	217
for.hɪn.	for.hɪn.	216
tai.lɘ.	tai.lɘ.	216
tram.ban.	tram.ban.	215
auf.pa.sɘn.	auf.pa.sɘn.	215
ve.	ve.	215
bai.dɘ.	bai.dɘ.	214
nɛx.stɘ.	nɛx.stɘ.	213
hʊnd.	hʊnt.	213
zo.fɔrt.	zo.fɔrt.	212
ver.dɘ.	ver.dɘ.	212
ʃpil.	ʃpil.	212
zu.xɘn.	zu.xɘn.	212
nu.dɘln.	nu.dɘln.	211
hɛlt.	hɛlt.	211
malst.	malst.	211
hɛl.fɘn.	hɛl.fɘn.	208
ʃlɪm.	ʃlɪm.	208
ha.tɘn.	ha.tɘn.	208
ʃtul.	ʃtul.	207
ne.mɘ.	ne.mɘ.	206
klapt.	klapt.	206
vyrst.xɘn.	vyrst.xɘn.	204
tu.	tu.	202
hɛn.dɘ.	hɛn.dɘ.	202
kɔmst.	kɔmst.	202
bau.ɘrn.hof.	bau.ɘrn.hof.	202
kau.fɘn.	kau.fɘn.	201
fast.	fast.	200
tag.	tak.	200
bɛr.lin.	bɛr.lin.	199
zakst.	zakst.	199
vɛl.xɘs.	vɛl.xɘs.	198
ro.tɘn.	ro.tɘn.	198
vem.	vem.	198
gry.nɘ.	gry.nɘ.	198
gɘ.hapt.	gɘ.hapt.	197
brot.	brot.	196
nɪmst.	nɪmst.	196
nɛt.	nɛt.	196
baux.	baux.	196
zɔ.nɘ.	zɔ.nɘ.	195
ʃvartz.	ʃvarts.	195
zɛks.	zɛks.	195
lɔyxt.tʊrm.	lɔyxt.tʊrm.	195
gab.	gap.	194
ais.	ais.	194
ge.bɘn.	ge.bɘn.	193
tir.	tir.	191
fus.	fus.	191
lɔyft.	lɔyft.	190
gry.nɘn.	gry.nɘn.	189
hal.tɘn.	hal.tɘn.	188
tɔ.lɘ.	tɔ.lɘ.	188
zɛ.tsɘn.	zɛ.tsɘn.	188
drʊn.tɘr.	drʊn.tɘr.	188
varm.	varm.	187
man.	man.	187
pa.ris.	pa.ris.	187
ʃvain.	ʃvain.	187
da.fɔn.	da.fɔn.	186
hɛ.tɘst.	hɛ.tɘst.	185
ty.rɘn.	ty.rɘn.	185
baust.	baust.	185
ʊn.tɘr.brɛ.xɘn.	ʊn.tɘr.brɛ.xɘn.	184
zɔn.dɘrn.	zɔn.dɘrn.	184
ʃnɛ.kɘ.	ʃnɛ.kɘ.	184
o.pa.	o.pa.	183
auf.ma.xɘn.	auf.ma.xɘn.	183
zai.nɘ.	zai.nɘ.	183
mʊ.ʃɘln.	mʊ.ʃɘln.	183
hɪl.fɘ.	hɪl.fɘ.	182
dre.ɘn.	dre.ɘn.	182
lau.fɘn.	lau.fɘn.	182
raux.	raux.	182
kri.gɘ.	kri.gɘ.	181
rauf.	rauf.	181
bald.	balt.	180
jʊ.ŋɘ.	jʊ.ŋɘ.	180
ʃver.	ʃver.	180
aus.ʃtai.gɘn.	aus.ʃtai.gɘn.	180
gipst.	gipst.	179
ʃo.ko.la.dɘ.	ʃo.ko.la.dɘ.	179
ɔr.dnʊŋ.	ɔr.dnʊŋ.	179
tʊrm.	tʊrm.	179
gɔn.dɘl.	gɔn.dɘl.	179
ur.	ur.	178
hi.nain.	hi.nain.	177
ɔyx.	ɔyx.	177
for.bai.	for.bai.	177
blaipt.	blaipt.	175
tsɪ.mɘr.	tsɪ.mɘr.	175
ʃe.rɘ.	ʃe.rɘ.	175
laut.	laut.	174
al.tɘ.	al.tɘ.	173
da.for.	da.for.	173
lɔx.	lɔx.	173
for.le.zɘn.	for.le.zɘn.	172
ʃraŋ.kɘ.	ʃraŋ.kɘ.	172
kɛnst.	kɛnst.	171
tɛ.pɪx.	tɛ.pɪx.	170
gɘ.fa.lɘn.	gɘ.fa.lɘn.	170
lai.dɘr.	lai.dɘr.	170
auf.na.mɘ.	auf.na.mɘ.	170
ry.bɘr.	ry.bɘr.	170
gɛl.bɘ.	gɛl.bɘ.	170
di.zɘn.	di.zɘn.	169
hɪn.tɘr.	hɪn.tɘr.	169
rɛxt.	rɛxt.	169
e.bɘn.	e.bɘn.	169
vʊn.dɘr.bar.	vʊn.dɘr.bar.	169
ʃtai.nɘ.	ʃtai.nɘ.	169
lo.ko.mo.ti.vɘ.	lo.ko.mo.ti.vɘ.	168
vɪ.sɘn.	vɪ.sɘn.	167
ɛn.tɘn.	ɛn.tɘn.	167
gɘ.vɔr.dɘn.	gɘ.vɔr.dɘn.	166
lɪxt.	lɪxt.	165
ʃtra.sɘ.	ʃtra.sɘ.	164
mɪt.ne.mɘn.	mɪt.ne.mɘn.	164
ɛr.tsɛlt.	ɛr.tsɛlt.	164
ti.gɘr.	ti.gɘr.	164
ʃtɛ.lɘn.	ʃtɛ.lɘn.	164
las.tɘr.	las.tɘr.	164
pa.pir.	pa.pir.	163
ky.xɘ.	ky.xɘ.	163
gɘ.malt.	gɘ.malt.	163
alt.	alt.	162
bɛr.	bɛr.	162
ain.kau.fɘn.	ain.kau.fɘn.	162
ʃtat.	ʃtat.	161
kla.sɘ.	kla.sɘ.	161
dry.kɘn.	dry.kɘn.	160
dɛ.kɘl.	dɛ.kɘl.	160
an.dɘrs.	an.dɘrs.	160
trɔtz.dem.	trɔts.dem.	159
tsy.gɘ.	tsy.gɘ.	159
kœn.tɘst.	kœn.tɘst.	159
glai.zɘ.	glai.zɘ.	159
rot.	rot.	159
fɛr.gɛ.sɘn.	fɛr.gɛ.sɘn.	159
vyr.dɘst.	vyr.dɘst.	158
zɔl.tɘ.	zɔl.tɘ.	158
vi.fil.	vi.fil.	158
pɪ.tsa.	pɪ.tsa.	158
ha.tɘst.	ha.tɘst.	157
de.nɘn.	de.nɘn.	157
kɪs.tɘ.	kɪs.tɘ.	157
zau.ɘr.	zau.ɘr.	157
y.bɘr.al.	y.bɘr.al.	156
ʃtɪft.	ʃtɪft.	156
bot.	bot.	156
gɘ.burts.tag.	gɘ.burts.tak.	156
dry.bɘr.	dry.bɘr.	155
lœ.fɘl.	lœ.fɘl.	155
mai.nɘm.	mai.nɘm.	154
ʃatz.	ʃats.	154
gɘ.ʃɪx.tɘ.	gɘ.ʃɪx.tɘ.	153
vɪrst.	vɪrst.	153
kɪnd.	kɪnt.	153
auf.bau.ɘn.	auf.bau.ɘn.	153
ʊm.dre.ɘn.	ʊm.dre.ɘn.	153
xi.na.	xi.na.	153
hɛ.rʊm.	hɛ.rʊm.	152
ran.	ran.	152
da.hɪn.tɘn.	da.hɪn.tɘn.	152
zɔ.kɘn.	zɔ.kɘn.	152
blau.ɘ.	blau.ɘ.	152
fɛr.ʃte.ɘ.	fɛr.ʃte.ɘ.	151
hai.sɘn.	hai.sɘn.	150
da.hɪn.	da.hɪn.	150
brɪŋt.	brɪŋt.	150
ʃɪk.	ʃɪk.	150
bau.ɘr.	bau.ɘr.	150
nɔyn.	nɔyn.	149
dɛ.kɘ.	dɛ.kɘ.	149
aus.ain.an.dɘr.	aus.ain.an.dɘr.	148
raixt.	raixt.	148
tɛ.lɘr.	tɛ.lɘr.	148
lɛst.	lɛst.	147
hʊn.dɘrt.	hʊn.dɘrt.	147
ʃnɔy.tsɘn.	ʃnɔy.tsɘn.	147
vai.nax.tɘn.	vai.nax.tɘn.	147
di.zɘm.	di.zɘm.	146
au.gɘ.	au.gɘ.	146
ain.ʃtai.gɘn.	ain.ʃtai.gɘn.	145
lɛtz.tɘ.	lɛts.tɘ.	145
da.nax.	da.nax.	144
far.rad.	far.rat.	144
tau.zɘnd.	tau.zɘnt.	144
pa.sɘn.	pa.sɘn.	144
kɛrt.xɘn.	kɛrt.xɘn.	144
dɔrt.	dɔrt.	143
hørt.	hørt.	143
kraŋk.	kraŋk.	143
dɔl.	dɔl.	143
tust.	tust.	143
lɛrm.	lɛrm.	143
ze.	ze.	142
ʃø.nɘs.	ʃø.nɘs.	141
ɛn.dɘ.	ɛn.dɘ.	141
ur.laub.	ur.laup.	140
fɛr.zu.xɘn.	fɛr.zu.xɘn.	140
bau.	bau.	139
rʊn.tɘr.gɘ.fa.lɘn.	rʊn.tɘr.gɘ.fa.lɘn.	138
mɛ.ŋɘ.	mɛ.ŋɘ.	138
fyrx.tɘr.lɪx.	fyrx.tɘr.lɪx.	137
kar.tɔ.fɘln.	kar.tɔ.fɘln.	137
for.vɛrts.	for.vɛrts.	137
trau.rɪx.	trau.rɪx.	137
pus.tɘn.	pus.tɘn.	137
hir.hɪn.	hir.hɪn.	136
mi.nu.tɘn.	mi.nu.tɘn.	136
fi.lɘn.	fi.lɘn.	136
tsɛ.nɘ.	tsɛ.nɘ.	135
fy.sɘ.	fy.sɘ.	135
lɛtz.tɘn.	lɛts.tɘn.	135
gɛl.bɘn.	gɛl.bɘn.	135
vax.	vax.	135
ʃlɛft.	ʃlɛft.	134
y.bri.gɘns.	y.bri.gɘns.	133
nɔy.ɘn.	nɔy.ɘn.	133
lø.vɘ.	lø.vɘ.	133
pa.kɘn.	pa.kɘn.	132
fœ.lɪx.	fœ.lɪx.	131
za.gɘ.	za.gɘ.	131
brau.xɘ.	brau.xɘ.	131
fɪn.dɘt.	fɪn.dɘt.	131
zai.nɘn.	zai.nɘn.	130
dis.	dis.	130
dʊŋ.kɘl.	dʊŋ.kɘl.	130
zi.bɘn.	zi.bɘn.	130
mɪt.gɘ.braxt.	mɪt.gɘ.braxt.	130
ge.gɘnd.	ge.gɘnt.	130
hø.rɘn.	hø.rɘn.	130
blau.	blau.	129
kle.bɘr.	kle.bɘr.	129
pi.lot.	pi.lot.	129
gest.	gest.	128
gɪŋ.	gɪŋ.	128
lʊst.	lʊst.	128
ɛr.ɪ.nɘrn.	ɛr.ɪ.nɘrn.	128
kɛ.nɘ.	kɛ.nɘ.	128
nɔy.	nɔy.	128
nɪmt.	nɪmt.	127
ʃu.ɘ.	ʃu.ɘ.	127
fra.gɘn.	fra.gɘn.	127
gɘ.ʃpilt.	gɘ.ʃpilt.	127
kɛ.zɘ.	kɛ.zɘ.	127
mɪt.fa.rɘn.	mɪt.fa.rɘn.	127
pe.tɘr.	pe.tɘr.	127
fɛr.kɘl.	fɛr.kɘl.	127
ai.ɘr.	ai.ɘr.	127
ʃaf.nɘr.	ʃaf.nɘr.	127
va.gɘn.	va.gɘn.	126
vai.sɘ.	vai.sɘ.	126
da.raus.	da.raus.	126
far.bɘn.	far.bɘn.	126
axt.	axt.	125
gɘ.kauft.	gɘ.kauft.	125
i.mi.tirt.	i.mi.tirt.	125
ɛr.tsɛ.lɘn.	ɛr.tsɛ.lɘn.	124
fɔy.ɘr.ver.	fɔy.ɘr.ver.	124
da.tsvɪ.ʃɘn.	da.tsvɪ.ʃɘn.	124
re.pa.rirt.	re.pa.rirt.	123
mɪlx.	mɪlx.	123
vo.her.	vo.her.	122
lau.tɘr.	lau.tɘr.	122
zai.	zai.	122
bʊ.tɘr.mɪlx.	bʊ.tɘr.mɪlx.	122
ler.	ler.	121
bɪl.dɘr.	bɪl.dɘr.	121
vɔl.tɘn.	vɔl.tɘn.	121
i.rɘ.	i.rɘ.	121
daŋ.kɘ.	daŋ.kɘ.	121
ton.band.auf.na.mɘ.	ton.bant.auf.na.mɘ.	121
tsai.gɘn.	tsai.gɘn.	121
a.ŋɘln.	a.ŋɘln.	121
an.ma.lɘn.	an.ma.lɘn.	121
pferd.	pfert.	120
gryn.	gryn.	120
ge.gɘn.	ge.gɘn.	120
dɪŋ.	dɪŋ.	120
fɛr.ʃtɛkt.	fɛr.ʃtɛkt.	119
naxt.	naxt.	119
for.ʃtɛ.lɘn.	for.ʃtɛ.lɘn.	119
tɔ.lɘs.	tɔ.lɘs.	119
aus.tsi.ɘn.	aus.tsi.ɘn.	118
ɛ.pfɘl.	ɛ.pfɘl.	118
brɪ.ŋɘn.	brɪ.ŋɘn.	118
ro.za.	ro.za.	118
bɛrg.	bɛrk.	118
ʃø.nɘn.	ʃø.nɘn.	118
blat.	blat.	118
blu.mɘn.	blu.mɘn.	118
dʊrx.fa.rɘn.	dʊrx.fa.rɘn.	117
